game,session,track,car,lap,start,end,time,length,valid
iRacing,1673229757,bathurst,Mercedes AMG GT4,23,2023-01-08 20:27:07.545754+00:00,2023-01-08 20:29:21.852988+00:00,134.338074,6139,True
iRacing,1674225643,vegas oval,Toyota Tundra TRD Pro,5,2023-01-20 06:42:50.672626+00:00,2023-01-20 06:43:21.184403+00:00,30.5439339,2449,True
iRacing,1674225643,vegas oval,Toyota Tundra TRD Pro,3,2023-01-20 06:41:49.606994+00:00,2023-01-20 06:42:20.119927+00:00,30.5457668,2449,True
iRacing,1674225643,vegas oval,Toyota Tundra TRD Pro,4,2023-01-20 06:42:20.145596+00:00,2023-01-20 06:42:50.642772+00:00,30.5459,2449,True
iRacing,1673352066,pevely,Sprint Car,1,2023-01-10 04:01:37.126634+00:00,2023-01-10 04:01:48.836097+00:00,11.7412643,438,True
iRacing,1673352066,pevely,Sprint Car,2,2023-01-10 04:01:48.868334+00:00,2023-01-10 04:02:00.578077+00:00,11.7412643,440,True
iRacing,1673352066,pevely,Sprint Car,4,2023-01-10 04:02:12.360163+00:00,2023-01-10 04:02:24.057084+00:00,11.7526979,439,True
iRacing,1673805665,silverstone 2019 gp,Porsche 911 GT3 Cup (992),11,2023-01-15 19:26:08.150292+00:00,2023-01-15 19:28:10.237639+00:00,122.149368,5799,True
iRacing,1673570839,silverstone 2019 gp,Porsche 911 GT3 Cup (992),13,2023-01-13 02:19:55.089786+00:00,2023-01-13 02:21:58.637582+00:00,123.550064,5799,True
iRacing,1673808737,silverstone 2019 gp,Porsche 911 GT3 Cup (992),3,2023-01-15 19:56:40.970430+00:00,2023-01-15 19:58:44.667471+00:00,123.7054,5799,True
iRacing,1674573444,magnycours gp,BMW M4 GT3,21,2023-01-24 16:51:50.116505+00:00,2023-01-24 16:53:28.866188+00:00,98.7914658,4409,True
iRacing,1674587854,magnycours gp,BMW M4 GT3,20,2023-01-24 20:50:12.092745+00:00,2023-01-24 20:51:50.977075+00:00,98.9146347,4408,True
iRacing,1674587854,magnycours gp,BMW M4 GT3,12,2023-01-24 20:36:27.101213+00:00,2023-01-24 20:38:06.015688+00:00,98.93463,4409,True
iRacing,1671649422,spa up,Dallara P217 LMP2,2,2022-12-21 19:09:48.929722+00:00,2022-12-21 19:11:51.462977+00:00,122.555763,6929,True
iRacing,1671649422,spa up,Dallara P217 LMP2,1,2022-12-21 19:07:46.164632+00:00,2022-12-21 19:09:48.909087+00:00,122.770866,6929,True
iRacing,1671647332,spa up,Dallara P217 LMP2,1,2022-12-21 18:32:59.495533+00:00,2022-12-21 18:35:03.330587+00:00,123.876274,6929,True
iRacing,1670321989,limerock 2019 classic,Dallara F312 F3,29,2022-12-06 02:43:01.739674+00:00,2022-12-06 02:43:44.701967+00:00,42.97326,2350,True
iRacing,1670363021,limerock 2019 classic,Dallara F312 F3,13,2022-12-06 21:52:47.490852+00:00,2022-12-06 21:53:31.557085+00:00,44.11067,2347,True
iRacing,1670363021,limerock 2019 classic,Dallara F312 F3,19,2022-12-06 21:57:17.983480+00:00,2022-12-06 21:58:02.113216+00:00,44.1658669,2349,True
iRacing,1670223850,indianapolis ovalindypit,Dallara DW12,2,2022-12-05 02:05:28.422429+00:00,2022-12-05 02:06:08.612347+00:00,40.2304,4039,True
iRacing,1670223850,indianapolis ovalindypit,Dallara DW12,1,2022-12-05 02:04:48.072125+00:00,2022-12-05 02:05:28.383519+00:00,40.3619652,4038,True
iRacing,1670222345,indianapolis ovalindypit,Dallara DW12,3,2022-12-05 01:41:22.308533+00:00,2022-12-05 01:42:03.322031+00:00,41.03213,4039,True
iRacing,1673731091,daytona 2011 road,Unknown,2,2023-01-14 21:22:29.380126+00:00,2023-01-14 21:24:14.865079+00:00,105.514664,5689,True
iRacing,1673731091,daytona 2011 road,Unknown,1,2023-01-14 21:20:43.832836+00:00,2023-01-14 21:22:29.359842+00:00,105.583267,5689,True
iRacing,1673853565,daytona 2011 road,Unknown,2,2023-01-16 02:24:01.942477+00:00,2023-01-16 02:25:51.864527+00:00,109.9533,5689,True
iRacing,1674828688,magnycours gp,Dallara F312 F3,15,2023-01-27 15:41:27.457854+00:00,2023-01-27 15:43:01.890299+00:00,94.4607,4409,True
iRacing,1674828688,magnycours gp,Dallara F312 F3,13,2023-01-27 15:38:17.499693+00:00,2023-01-27 15:39:52.321813+00:00,94.8521347,4410,True
iRacing,1674828688,magnycours gp,Dallara F312 F3,14,2023-01-27 15:39:52.338768+00:00,2023-01-27 15:41:27.441411+00:00,95.1328,4409,True
iRacing,1674818266,daytona 2011 oval,Ford Mustang Class A,5,2023-01-27 12:21:37.278371+00:00,2023-01-27 12:22:26.938565+00:00,49.6984978,3988,True
iRacing,1674818266,daytona 2011 oval,Ford Mustang Class A,7,2023-01-27 12:23:16.998397+00:00,2023-01-27 12:24:06.820660+00:00,49.8355637,3987,True
iRacing,1674818266,daytona 2011 oval,Ford Mustang Class A,8,2023-01-27 12:24:06.852330+00:00,2023-01-27 12:24:56.692219+00:00,49.8725967,3987,True
iRacing,1673689654,volusia,Dirt 358 Modified,13,2023-01-14 03:54:44.350097+00:00,2023-01-14 03:55:01.257510+00:00,16.9282169,679,True
iRacing,1673689654,volusia,Dirt 358 Modified,2,2023-01-14 03:48:37.239713+00:00,2023-01-14 03:48:54.201621+00:00,16.9952164,679,True
iRacing,1673690285,volusia,Dirt 358 Modified,1,2023-01-14 03:59:19.397499+00:00,2023-01-14 03:59:36.405514+00:00,17.0317326,679,True
iRacing,1674101014,charlotte 2018 2019 roval,Mazda MX-5 Cup,2,2023-01-18 22:07:11.625515+00:00,2023-01-18 22:08:44.374194+00:00,92.77883,3599,True
iRacing,1674101618,charlotte 2018 2019 roval,Mazda MX-5 Cup,4,2023-01-18 22:18:24.690610+00:00,2023-01-18 22:19:57.504755+00:00,92.84243,3599,True
iRacing,1674101618,charlotte 2018 2019 roval,Mazda MX-5 Cup,6,2023-01-18 22:21:30.423835+00:00,2023-01-18 22:23:03.243972+00:00,92.84496,3599,True
iRacing,1674812598,talladega,87 Chevy Monte Carlo,42,2023-01-27 04:28:09.843382+00:00,2023-01-27 04:28:55.217978+00:00,45.4113,4268,True
iRacing,1674812598,talladega,87 Chevy Monte Carlo,23,2023-01-27 04:09:06.587800+00:00,2023-01-27 04:09:52.112289+00:00,45.5412331,4268,True
iRacing,1674812598,talladega,87 Chevy Monte Carlo,41,2023-01-27 04:27:24.266953+00:00,2023-01-27 04:28:09.811489+00:00,45.5794,4269,True
iRacing,1674814551,brandshatch grandprix,BMW M4 GT4,6,2023-01-27 03:26:21.449101+00:00,2023-01-27 03:27:50.904538+00:00,89.47037,3889,True
iRacing,1674712798,brandshatch grandprix,BMW M4 GT4,31,2023-01-25 23:54:55.209498+00:00,2023-01-25 23:56:24.762803+00:00,89.5879,3889,True
iRacing,1674805310,brandshatch grandprix,BMW M4 GT4,26,2023-01-27 01:20:30.427072+00:00,2023-01-27 01:22:00.066627+00:00,89.6674652,3888,True
iRacing,1673251000,sonoma long,Skip Barber Formula 2000,7,2023-01-09 00:09:50.116516+00:00,2023-01-09 00:11:37.437936+00:00,107.352135,3978,True
iRacing,1673227693,sonoma long,Skip Barber Formula 2000,8,2023-01-08 20:42:06.906927+00:00,2023-01-08 20:43:54.646958+00:00,107.7628,3979,True
iRacing,1673227693,sonoma long,Skip Barber Formula 2000,9,2023-01-08 20:43:54.678061+00:00,2023-01-08 20:45:42.459228+00:00,107.78373,3979,True
iRacing,1674100463,charlotte quadoval,Chevrolet Silverado,7,2023-01-18 23:01:56.874346+00:00,2023-01-18 23:02:27.407891+00:00,30.5607414,2339,True
iRacing,1674100463,charlotte quadoval,Chevrolet Silverado,6,2023-01-18 23:01:26.278868+00:00,2023-01-18 23:01:56.844739+00:00,30.5723763,2338,True
iRacing,1674097561,charlotte quadoval,Chevrolet Silverado,3,2023-01-18 22:08:29.853329+00:00,2023-01-18 22:09:00.653730+00:00,30.8405743,2338,True
iRacing,1674217620,daytona 2011 road,Lamborghini Huracan GT3 EVO,32,2023-01-20 05:35:18.082146+00:00,2023-01-20 05:37:04.498783+00:00,106.434631,5688,True
iRacing,1674217620,daytona 2011 road,Lamborghini Huracan GT3 EVO,31,2023-01-20 05:33:30.838711+00:00,2023-01-20 05:35:18.051789+00:00,107.226631,5687,True
iRacing,1674217620,daytona 2011 road,Lamborghini Huracan GT3 EVO,19,2023-01-20 05:11:42.742498+00:00,2023-01-20 05:13:30.365161+00:00,107.647034,5687,True
iRacing,1673604820,suzuka grandprix,Mercedes-AMG GT3 2020,23,2023-01-13 03:58:50.807644+00:00,2023-01-13 04:00:49.300768+00:00,118.527267,5747,True
iRacing,1673604820,suzuka grandprix,Mercedes-AMG GT3 2020,20,2023-01-13 03:52:52.373366+00:00,2023-01-13 03:54:51.172786+00:00,118.8305,5749,True
iRacing,1673604820,suzuka grandprix,Mercedes-AMG GT3 2020,21,2023-01-13 03:54:51.202691+00:00,2023-01-13 03:56:50.065040+00:00,118.888634,5749,True
iRacing,1673737846,charlotte 2018 oval,Street Stock,1,2023-01-14 18:10:53.652849+00:00,2023-01-14 18:12:10.168533+00:00,36.38027,2338,True
iRacing,1673734308,charlotte 2018 oval,Street Stock,3,2023-01-14 17:13:11.593718+00:00,2023-01-14 17:13:48.029819+00:00,36.4575653,2339,True
iRacing,1673730690,charlotte 2018 oval,Street Stock,4,2023-01-14 16:13:28.823297+00:00,2023-01-14 16:14:05.257057+00:00,36.4579,2339,True
