game,session,track,car,lap,start,end,time,length,valid
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,73,2022-12-06 21:26:53.035651+00:00,2022-12-06 21:27:23.536011+00:00,26.8798828,3212,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,42,2022-12-06 21:08:55.186445+00:00,2022-12-06 21:09:25.558699+00:00,26.9248047,3216,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,40,2022-12-06 21:07:54.144252+00:00,2022-12-06 21:08:24.599103+00:00,26.96045,3211,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,35,2022-12-06 21:05:20.267196+00:00,2022-12-06 21:05:50.836322+00:00,26.9892578,3215,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,20,2022-12-06 20:55:09.296245+00:00,2022-12-06 20:55:39.886602+00:00,26.996582,3214,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,70,2022-12-06 21:25:21.108498+00:00,2022-12-06 21:25:51.649439+00:00,27.0317383,3217,True
Automobilista 2,1670355905,Fontana:Fontana_OVAL,Reynard 2Ki Ford-Cosworth - Superspeedway,37,2022-12-06 21:06:22.420383+00:00,2022-12-06 21:06:52.845638+00:00,27.0444336,3211,True
iRacing,1670310761,daytona 2011 oval,Chevrolet Silverado,20,2022-12-06 01:36:35.222226+00:00,2022-12-06 01:37:23.957107+00:00,48.7829,3989,True
iRacing,1670310761,daytona 2011 oval,Chevrolet Silverado,12,2022-12-06 01:27:20.297217+00:00,2022-12-06 01:28:09.182426+00:00,48.9104,3989,True
iRacing,1670310761,daytona 2011 oval,Chevrolet Silverado,11,2022-12-06 01:26:31.027286+00:00,2022-12-06 01:27:20.287130+00:00,49.2702,3989,True
